Text,Ground Truth,docugami/dfm-csl-large
"SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        TX

           5/7

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            95,583

         52.752

          $5,042

        TX

           6/8

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            93,311

         52.752

          $4,922

        TX

           6/9

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

            22,445

         18.168

           $408

        TX

           7/10

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

            70,000

         52.752

          $3,693

        TX

           8/11

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

             1,447

         52.752

            $76

        TX

           8/12

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

           134,524

         18.168

          $2,444

        TX

           8/13

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

           138,000

         52.752

          $7,280

        TX

           9/14

          61217

          BUILDINGS OR PREMISES - BANK OR OFFICE -

        Prem/Ops.

           122,000

         52.752

          $6,436

        TX

           9/15

          46606

          PARKING - PUBLIC - SHOPPING CENTERS - MAINTAINED BY THE LESSEE (LESSOR'S RISK ONLY)

        Prem/Ops.

           100,400

         18.168

          $1,824

        TX

           10/16

          61217

          BUILDINGS OR PREMISES -

        Prem/Ops.

            83,940

         43.485

          $3,650",Shopping Center Insurance,Shopping Center Maintenance
67. Tenant’s Checks to Landlord,Tenant's Checks to Landlord,Tenant’s Checks
"By Ybpp

        in any one occurrence:

                                                                    $5,000",Maximum Coverage Limit,Maximum Coverage Limit
"The purpose of this SOW is to describe the Software and Services that Company will initially provide to Daltech, Inc. the “Client”) under the terms and conditions of the Services Agreement entered into between the parties on June 15, 2021 (the “Agreement”). Additional terms and conditions may be set forth in this SOW, and additional SOWs that may be subsequently signed.",SOW Description,Applicability and Enforcement Rights
"We will issue notes as global notes in registered form. If it is stated in the applicable pricing supplement that the notes are to be issued under NSS and that they are intended to be eligible collateral for Eurosystem monetary policy, the notes will be registered in the name of a nominee for a common safekeeper for Euroclear and Clearstream, Luxembourg, and we will deliver these notes to a common safekeeper for Euroclear and Clearstream, Luxembourg.",Global Note Registration,Note Registration
"In no event shall Tenant use, or permit to be used, the space adjacent to or any other space outside of the Premises, for display, sale or any other similar undertaking; except [1] in the event of a legal and licensed “street fair” type program or [2] if the local zoning, Community Board [if applicable] and other municipal laws, rules and regulations, allow for sidewalk café use and, if such I s the case, said operation shall be in strict accordance with all of the aforesaid requirements and conditions. . In no event shall Tenant use, or permit to be used, any advertising medium and/or loud speaker and/or sound amplifier and/or radio or television broadcast which may be heard outside of the Premises or which does not comply with the reasonable rules and regulations of Landlord which then will be in effect.",Legal Compliance,Legal Compliance
"42D. Music, Noise, and Vibration 



 Tenant shall not use or permit the use of the Premises or any part thereof as a discotheque, or for dancing of any kind or nature nor allow any sounds to be heard, recorded or measured in any portion of the Building outside of the Premises above 45 decibels or in violation of any law, rule or ordinance including the New York Administrative Code or in any way which would violate any of the other covenants, agreements, terms, provisions and conditions of this Lease or for any unlawful purposes or in any unlawful manner, which is a substantial obligation of this Lease, a breach of which shall constitute a ground for termination of the Lease. Tenant shall be allowed to play only recorded music in the Premises. Tenant shall not permit live music to be played in the Premises. Landlord makes no representation that the playing of recorded music is permitted under applicable laws and/or government regulations. The decibel level of any music played by Tenant or vibrations emanating therefrom shall not unreasonably disturb any tenants of the Building. Tenant, at its sole cost and expense, shall install sound proofing and take such other steps, including installation of vibration eliminators, false ceilings and noise barriers, as are required in the reasonable determination of Landlord to prevent noise and vibrations from disturbing any tenants of the Building. If reasonably requested by Landlord, Tenant shall submit to Landlord a plan of the steps taken to prevent noise and vibration for Landlord’s approval, which plan shall address the issues of vibrations and noise emanating from any source within the Premises, including any kitchen, cleaning, ventilation or other equipment therein, and shall complete all work in accordance with such plan, or if approved, prior to commencement of business. If the steps taken to eliminate noise or vibration, whether or not Landlord previously approved such steps, shall reasonably be deemed unsatisfactory to Landlord, 





 Landlord shall give notice specifying the changes, alterations or repairs to be made at Tenant’s sole expense. If such changes, alterations or repairs are not completed or repairs are not being diligently made within thirty days of such notice as specified by Landlord, Landlord may, at its sole discretion, either (i) cure such condition and thereafter add the cost and expenses incurred by Landlord therefor as Additional Rent to the next monthly installment of Fixed Rent to become due; or (ii) treat such failure to eliminate noise and vibration as a material default hereunder. 



 Tenant shall not suffer, allow or permit any vibration, noise, or other undesirable effects to emanate from the Premises, or any equipment or other installation, including but not limited to any ventilation fan, motor and related equipment located on the roof of the Building or elsewhere, that services the Premises, if any, or otherwise suffer, allow, or permit the same to constitute a nuisance or otherwise interfere with the safety, comfort or convenience of the Landlord or any other occupant of the Building. All installations which Tenant may make at or in respect of the Premises shall be placed and maintained by Tenant in settings and in such other manner as shall be reasonably sufficient to prevent vibration and to minimize noise, odors or annoyance of any kind. Tenant shall submit to Landlord for Landlord's prior written approval complete mechanical plans showing the location and installation details of all mechanical equipment, provided that any approval by Landlord shall not be construed to mean that Landlord agrees that such mechanical or other equipment complies with or will function in a manner which will cause Tenant to be in compliance with any of the terms and conditions of this Lease. 



 Tenant shall at all times make its best efforts to disperse its customers and limit the number of its customers smoking in front of the Premises to no more than three persons at any one time, including but not limited to directing its customers to leave the area in front of the Premises when the Premises is at its full legal capacity. Tenant shall also take appropriate measures concerning its customers who congregate outside the Premises to encourage such customers to remain reasonably quiet and respectful.",Music and Noise Restrictions,"Music, Noise and Vibration"
"Assignment Neither party may assign this Agreement without the prior written consent of the other party and any attempt to do so will be void. Any notice or consent under this Agreement will be in writing to the address specified below. If any provision of this Agreement is adjudged by any court of competent jurisdiction to be unenforceable or invalid, that provision shall be limited or eliminated to the minimum extent necessary so that this Agreement will otherwise remain in full force and effect. Any waivers or amendments shall be effective only if made in writing signed by a representative of the respective parties. Both parties agree that this Agreement is the complete and exclusive statement of the mutual understanding of the parties, and supersedes and cancels all previous written and oral agreements and communications relating to the subject matter of this Agreement. Both parties agree that the Agreement is signed by a duly, authorized company representative authorized to bind the company to its terms and services and no consent from any third party is required.",Assignment & Waiver Requirements,Assignment and Modification
"By Flood

                                       OCCURENCE

       01. At each of the following Building(s) numbered:

       007-013,018

       in any one occurrence

                                         $100,000

       As respects Business Income Coverage a 72 hour deductible applies at all premises locations.

       02. At each of the following Building(s) numbered:

       002-006,014-015

       in any one occurrence

                                          $50,000

       As respects Business Income Coverage a 72 hour deductible applies at all premises locations.

       03. At each of the following Building(s) numbered:

       016-017,019

       in any one occurrence

                                          $25,000

       As respects Business Income Coverage a 72 hour deductible applies at all premises locations.",Flood Insurance Coverage Limits,Flood Coverage
(iii)        are rightfully acquired by the receiving party from a third party who has the right to disclose such information or materials without breach of any confidentiality obligation to the disclosing party;,Legally Acquired Information,No Obligation to Restore Confidentiality
"Notwithstanding the foregoing, provided Tenant is not then in default of this Lease, on March 15, 2022, Landlord shall return $26,000 of the Security to the Tenant and the Security obligation shall be $52,000. In the event Tenant continues to comply with all of the terms and conditions of this Lease, and provided Tenant is not then in default of this Lease, on March 15, 2022, Landlord shall return",Security Reduction,Security Return
"Additional covered property

       Personal Property at Undescribed Premises

                  LIMITS OF INSURANCE

              At any “exhibition” premises

                        Not Covered

              At any installation premises or temporary storage premises

                        Not Covered

              At any other not owned, leased or regularly operated premises

                            $25,000

       Personal Property in Transit

                                     $25,000",Personal Property Coverage Limits,Insurance Coverage Details
Deluxe property coverage part schedule - specific limits - described premises,Deluxe Property Coverage,Property Coverage Details
ELECTRONIC VANDALISM LIMITATION ENDT,Electronic Vandalism Limitation,Electronic Vandalism Limitation
Give patient antihistamine to block inflammation as well. 4 days of Diphenhydramine 25 mg bid.,Antihistamine Treatment,Anti-Inflammatory Requirements
"StreetSTE 100 HOUSTON, TX

  Coverage

       Flood Limit

          500,000

       Flood Blanket

          No",Flood Coverage,Flood Coverage Limits
Time shall be of the essence with respect to all obligations under this Article 72.,Time Sensitivity,Time of Essence
NUCLEAR ENERGY LIABILITY EXCLUSION,Nuclear Energy Liability Exclusion,Nuclear Energy Liability Exclusion
Intended to Be Held in a Manner Which Would Allow Eurosystem Eligibility:,Eurosystem Eligibility,Intended Use of Notes
"In the event the fixed annual rent or additional rent or any part thereof provided to be paid by Tenant under the provisions of this Lease during the demised term shall become uncollectible or shall be reduced or required to be reduced or refunded by virtue of any Federal, State, County or City law, order or regulation, or by any direction of a public officer or body pursuant to law, or the orders, rules, code or regulations of any organization or entity formed pursuant to law, whether such organization or entity be public or private, then Landlord, at its option, may at any time thereafter terminate this Lease, by not less than thirty (30) days written notice to Tenant, on a date set forth in said notice, in which event this Lease and the term hereof shall terminate and come to an end on the date fixed in said notice as if the said date were the date originally fixed herein for the termination of the demised term. Landlord shall not have the right so to terminate this Lease if Tenant within such period of thirty (30) days shall in writing lawfully agree that the rentals herein reserved are a reasonable rental and agree to continue to pay said rental, and if such agreement by Tenant shall then be legally enforceable by Landlord. 



 If any term, covenant or condition of this Lease or the application thereof to any person or circumstance shall, to any extent, be invalid or unenforceable, the remainder of this Lease, or the application of such term, covenant or condition to persons or circumstances other than those as to which it is held invalid or unenforceable, shall not be affected thereby and each term, covenant or condition of this Lease shall be valid and be enforced to the fullest extent permitted by law.",Rent Reduction Termination,Termination for Uncollectability
"Illustration of study design for Protocol I8B-MC-ITRV.

              Patients will be required to attend the CRU on at least 8 occasions (no more than 10 occasions if dose-finding and/or one MMTT rescheduled) as noted in the Study Schedule (see Section 2):

                   Informed consent

                   Screening visit

                   Lead-in and insulin transition period (see Section 9.2.1)

                   4 inpatient CRU study visits (including dose finding assessment [see Section 9.2.2])

                   A follow-up visit

              Eligible patients who have satisfied the entry criteria and completed all screening procedures will return to the CRU at least 2 weeks prior to Period 1 Day -2 to begin a lead-in and insulin transition period. When patients visit the CRU to begin the lead-in period, patients will receive instruction on general diabetes education including measurement of self-monitored plasma glucose (SMPG) and receive instruction on the insulin transition (see Section 9.2.1). During the insulin transition period, patients will transition from their current basal insulin therapy to site- provided insulin glargine and Humalog CCI (see Section 9.2.1). Following insulin transition, patients will return to the CRU for the dose-finding assessment (see Section 9.2.2) on either the evening of Day -2, Period 1 or early morning of Day -1, Period 1. The dose-finding assessment will use Humalog administered immediately before a standardized liquid test meal (MMTT) to inform the dose of LY900014 and Humalog to be used during subsequent study MMTT assessments. Upon completion of the dose-finding assessment, patients will be randomised to 1 of 4 treatment sequences. Prior to the MMTT in each study period, patients will undergo a run-in period (see Section 9.2.3.1) to achieve a predetermined glucose target of 135 ±15 mg/dL (7.5 ±0.8 mmol/L). Once the glucose target has been attained, patients will proceed with the MMTT in which a single individualized SC dose of LY900014 or Humalog will be administered either immediately before the test meal or 20 minutes following the start of the test meal (see Section 9.2.3.2).

              Doses of LY900014 and Humalog during the 4 study periods will be separated by a minimum washout of approximately 21 hours. The maximum duration allowed for all 4 periods is approximately 6 weeks. Patients will continue using site-provided Humalog and insulin glargine during the washout periods between MMTTs (see Section 7.7 for use of concomitant medication and basal insulin). During the washout periods, patients will be instructed to perform regular blood glucose monitoring (see Section 9.5.7).

              Following completion of all study procedures in each Period, patients may be offered a meal and discharged from the CRU at the discretion of the principal investigator.

              Study governance considerations are described in detail in Appendix 3.

              5.2. Number of Participants

              Up to 36 patients may be enrolled so that approximately 30 patients complete the study. For purposes of this study, a patient completes the study when all scheduled procedures shown in the Schedule of Activities have been finished. Patients who drop out may be replaced, and the replacement patient will adopt all 4 assigned crossover treatments of the original patient’s randomization schedule.

              5.3. End of Study Definition

              End of the study is the date of the last visit or last scheduled procedure shown in the Schedule of Activities (Section 2) for the last patient.

              5.4. Scientific Rationale for Study Design

              The study is a 4-period crossover design to reduce the variability of insulin PK and GD, as each patient will act as his/her own control. The total number of patients needed with a crossover design is less than the number needed with a parallel group design. A maximum duration of approximately 6 weeks is allowed for patients to complete all 4 assigned periods to minimize the risk of insulin resistance/changes in mean glycemic control during the study.

              Randomization and blinding are used to avoid bias introduced through an association between allocation order of investigational medicinal product (IMP) and patient characteristics. The Lilly clinical pharmacologist (CP)/Lilly study team will be unblinded.

              In each study period patients will undergo a run-in period before the MMTT using a variable insulin and glucose IV infusion. This run-in period will allow for improved comparability of the postprandial glucose response to a mixed meal after treatment with LY900014 and Humalog administered either immediately before the start of the meal, or 20 minutes following the start of the test meal. This run-in aims to achieve similar preprandial glucose levels for all patients before the start of the test meal and thereby reduces the variability of the postprandial glucose response. Insulin glulisine has been chosen for the IV optimization of blood glucose during the run-in because insulin glulisine does not cross-react with the insulin lispro–specific assay used for the PK analysis.

              Under this design, if two periods occur on consecutive days, the interval between the last bolus on the first day and the first bolus on the second day is much longer compared to the length of time that the treatment (LY900014 or Humalog) lasts in the bloodstream; therefore, no carryover effect is assumed. This enables PK and GD data from the breakfast meal tests of each period to be analyzed independently and separately.

              A minimum of approximately 21 hours washout between the test meals allows for a complete washout of study drug administered with the MMTT and glucose response and prevents carry- over effects.

              5.5. Justification for Dose

              The bolus dose of insulin lispro (LY900014 or Humalog) will be individualized per patient to cover the carbohydrate content in this standardized liquid test meal. This dose of insulin is reflective of a clinically relevant, individualized insulin dosing, similar to how patients would determine the insulin dose for the carbohydrate content in a meal. For each patient, the individualized prandial insulin lispro dose in LY900014 and Humalog for each test meal must be kept identical throughout the crossover periods.

                                              6. Study Population

              Eligibility of patients for study enrollment will be based on the results of screening medical history, physical examination, vital signs, clinical laboratory tests, and electrocardiogram (ECG).

              The nature of any conditions present at the time of the physical examination and any preexisting conditions will be documented.

              Screening may occur over a 14 day period prior to the lead-in site visit. Patients who are not entered within this time period, may be subjected to an additional medical assessment and/or clinical measurements to confirm their eligibility.

              Prospective approval of protocol deviations to recruitment and enrollment criteria, also known as protocol waivers or exemptions, are not permitted.

              6.1. Inclusion Criteria

              Patients are eligible for inclusion in the study only if they meet all of the following criteria at screening and/or enrollment:

                     [1] are male or female patients with T1DM for at least 1 year. A diagnosis of T1DM is based on medical history with a fasting C-peptide <0.30 nmol/L.

                               a. Male patients:

                                      i. No male contraception required except in compliance with specific local government requirements

                               b. Female patients:

                                      i. Women of child-bearing potential who are abstinent (if this is complete abstinence, as their preferred and usual lifestyle) or in a same sex relationship (as part of their preferred and usual lifestyle) must agree to either remain abstinent or stay in a same sex relationship without sexual relationships with males.

                                      ii. Otherwise, women of child-bearing potential participating must agree to use one highly effective method of contraception until discharge from final treatment period.

                                             1. Women of child bearing potential must test negative for pregnancy prior to initiation of treatment as indicated by a negative serum pregnancy test at the screening visit followed by a negative urine pregnancy test within 24 hours prior to exposure in Period 1.

                                             2. A highly effective method of contraception includes a combined (estrogen and progestogen containing) or progestogen-only hormonal contraception administered orally, intravaginally, or transdermally and is associated with inhibition of ovulation. Alternatively, patients may use either an intrauterine device, intrauterine hormone-releasing system, bilateral tubal occlusion, or the partner should have been vasectomised.

                                     iii. Women not of childbearing potential may participate and include those who are:

                                             1. infertile due to surgical sterilization (hysterectomy, bilateral oophorectomy or bilateral salpingectomy), congenital anomaly such as mullerian agenesis; or

                                             2. post-menopausal – defined as a woman being amenorrheic for more than 1 year without an alternative medical cause and a serum follicle- stimulating hormone (FSH) level compatible with postmenopausal status. A FSH level in the post- menopausal range may be used to confirm a post- menopausal state in women not using hormonal contraception or hormonal re",Inclusion Criteria,Insulin Transition Period
"If not otherwise specified in this lease, and except in the case of (i) monthly installments of Rent or additional rent (which are due on the first of each calendar month without notice), and (ii) payments due from Tenant following a default which remains uncured beyond the expiration of the applicable notice and cure period (which shall be due and payable on demand), Tenant shall have a period of ten (10) business days after delivery of written request in which to make payments.",Payment Request Period,Payment Terms
(l)    methadone maintenance clinic or center;,Clinic Type,Methadone Maintenance Clinic or Center
"Hazard statements

                         :

                  No known significant effects or critical hazards.",Hazard Statement,No Significant Effects
"ARTICLE 19

                                                                   NO LIEN

                            Section 19.1 Carrier shall have no lien, and hereby expressly waives its right to any lien on any

                               cargo, freight, or property of Shipper or any of its customers, consignors or consignees.

                         EXECUTED on the dates indicated below but effective as of the Effective Date first above written.",No Lien,No Lien
"Earthquake Coverage

            NO

       Agreed Value

            YES

           Causes of Loss - Special Form",Earthquake Coverage Details,Earthquake Coverage Details
"$3,000,000, including umbrella coverage, (b) to cover at least the following hazards (1) Premises and operations, including but not limited to flooding, backup of sewers and drains, burglary, theft, and plate glass (2) Tenant's independent contractors; (3) contractual liability for all written and oral contracts; and (4) contractual liability covering the indemnitees contained elsewhere in this Lease, and Liquor Law legal liability insurance.",Insurance Coverage Details,Insurance Coverage Details
"History of Present Illness:

                 77 y o woman in NAD with a h/o CAD, DM2, asthma and HTN on altace for 8 years awoke from sleep around 2:30 am this morning of a sore throat and swelling of tongue. She came immediately to the ED b/c she was having difficulty swallowing and some trouble breathing due to obstruction caused by the swelling. She has never had a similar reaction ever before and she did not have any associated SOB, chest pain, itching, or nausea. She has not noticed any rashes, and has been afebrile. She says that she feels like it is swollen down in her esophagus as well. In the ED she was given 25mg benadryl IV, 125 mg solumedrol IV and pepcid 20 mg IV. This has helped the swelling some but her throat still hurts and it hurts to swallow. Nothing else was able to relieve the pain and nothing make it worse though she has not tried to drink any fluids because of trouble swallowing. She denies any recent travel, recent exposure to unusual plants or animals or other allergens. She has not started any new medications, has not used any new lotions or perfumes and has not eaten any unusual foods. Patient has not taken any of her oral medications today.",Acute Throat Swelling,History of Present Illness
"A Change Order will be binding only if signed by both parties. Any and all Change Orders will be governed by the terms and conditions set forth in this Agreement, and are hereby incorporated by this reference. Any additional Deliverables described in the Change Order will be subject to the Payment provisions as described in Section 7 of the Agreement.

4. Hours of Operation



5.

Travel. If the Deliverable will be completed according to a fixed price SOW and travel is required, then Client must sign the Agreement and SOW and pay required Deposit at least 30 days prior to proposed travel. If the Agreement and SOW are not signed and Deposit is not received at least 30 days prior to proposed travel, Company reserves the right to amend the SOW estimate solely with regard to travel and lodging expenses so that the SOW estimate reflects actual costs incurred by Company.

         •    Engineering:



                •    Monday-Friday 6AM-6PM PST



                •    engineering@digitalmemex.com



                •    (206) 684-8889





         •    Support:



                •    24 x 7 x 365



                •    support@digitalmemex.com



                •    (206) 684-8888",Travel & Hours of Operation,Travel Requirements
Meteorological Information and Flight Plan,Flight Planning,Meteorological Information and Flight Plan
"Pertinent Diagnostic Tests:

                 Na 140 K 4.5 Cl 109 Co2 23 BUN 29 Cr 1.0 Ca 9.9 Mg 1.4 Phos 3.6

                 PTT 26.7 WBC 9.9 Hgb 10.0 Hct 30.3 Plt 373

                 EKG - no signs of ischemia",Lab and EKG Results,Diagnostic Tests
"• continue albuterol and ipratropium nebs prn

                     • resume theophylline when patient can take oral meds

                 ++DM

                     • Not on oral home meds

                     • Patient is on corticosteroids that increase blood glucose levels, so put patient on sliding scale normal insulin to adjust for high sugars

                     • Resume neurontin for neuropathy when oral meds can be taken

                 ++HTN

                     • Continue patient’s BP control with Diltiazem drip 5mg/hour

                     • HOLD altace (ACEI) that is most likely the cause of angioedema

                     • Consider an alternative HTN medication to replace the ACEI. Can’t use a HCTZ because of sulfa allergy. Also has asthma/COPD picture so beta blocker may not work well either.

                 ++CAD s/p PCI in 1999

                  - Resume simvastatin and aspirin when patient is able to take oral meds

                 ++GERD

                 - famotidine when oral meds are resumed",Medication Adjustments,Treatment Plan
"of any such claim, Tenant upon written notice from Landlord shall, at Tenant’s sole cost and expense, oppose or defend such action or proceeding by counsel approved by Landlord in writing, which approval Landlord shall not unreasonably withhold.",Defense of Claims,Defense of Claims
"66. Tenant’s Punctual Payment Obligation 



 Tenant expressly recognizes that Tenant’s due and punctual performance of all of its obligations under this Lease throughout the term thereof is of paramount importance to Landlord and, without limiting the provisions of Article 17, Tenant agrees that, if Tenant shall default (a) in the timely payment of fixed rent or additional rent and such default shall continue beyond the 10 day grace period and repeated in two consecutive months or for a total of four months in any period of twelve consecutive months, or (b) in the timely performance, beyond any applicable cure period, of any other obligations of Tenant under this Lease and such default shall occur more than two (2) times in any period of twelve months, then s, any further similar default shall be deemed to be deliberate and Landlord thereafter may either (i) serve a three (3) day notice of cancellation of this Lease as and with the 

 effects provided in subparagraph (1) of Article 17 or (ii) by notice to Tenant, increase the amount of security deposit required under the Lease so that Tenant shall provide three (3) additional month’s rent at the then current rate.",Tenant Punctual Payment Obligation,Payment Obligation
"COMPANY WILL NOT BE LIABLE FOR ANY LOSS OF USE, INTERRUPTION OF BUSINESS, LOST PROFITS, OR ANY INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES OF ANY KIND REGARDLESS OF THE FORM OF ACTION WHETHER IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT PRODUCT LIABILITY, OR OTHERWISE, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",No Liability for Damages,Indemnification
"Period

                                     Rate P/S/F Per Annum

                                  Monthly Base Rent

                                   Period Base Rent

                                 Months 1 – 12

                                              $33.82

                                      $27,487.21

                                      $329,846.46

                                 Months 13 – 24

                                              $34.83

                                      $28,311.82

                                      $339,741.85

                                 Months 25 – 36

                                              $35.88

                                      $29,161.18

                                      $349,934.11

                                 Months 37 – 48

                                              $36.96

                                      $30,036.01

                                      $360,432.13

                                 Months 49 – 60

                                              $38.06

                                      $30,937.09

                                      $371,245.10

                                 Months 61 – 72

                                              $39.21

                                      $31,865.20

                                      $382,382.45

                                 Months 73 – 84

                                              $40.38

                                      $32,821.16

                                      $393,853.92

                                 Months 85 – 96

                                              $41.59

                                      $33,805.80

                                      $405,669.54",Rent Schedule,Periods and Rates
"The billing statements provided by Landlord for the charges due pursuant to this Article 41 shall constitute a final determination as between Landlord and Tenant of the additional rent for the periods represented thereby, unless Tenant within thirty days after they have been furnished shall give a written notice to Landlord that Tenant disputes their accuracy or appropriateness, which written notice shall specify the particular respects in which the statement is inaccurate or inappropriate. Pending the resolution of such dispute, Tenant shall pay the additional rent to Landlord in accordance with the statements furnished by Landlord.",Billing Statement Disputes,Applicability of Article
"Section 13.14 This Agreement shall be construed as a whole in accordance with the fair and reasonable meaning of

                   its language, and, regardless of which party co-drafted this Agreement, this Agreement shall not be construed in

                                                         favor of or against either party.

                           Section 13.15 This Agreement constitutes the complete and entire agreement between the parties and supersedes any prior or contemporaneous agreements or understandings between the parties with respect to its subject matter. This Agreement covers and controls the entire business relationship between the parties including any claims, disputes or other conflicts which may arise between the parties and which are brought or occur after the

                           effective date even if the events or actions occur in whole or in part prior to the Effective Date.",Entire Agreement,No Prior Agreements
"65. Tenant Waivers 



 Tenant waives trial by jury in any action, proceeding, or counterclaim whatsoever brought by Landlord or Tenant arising out of or in any way connected with this Lease, the relationship of Landlord and Tenant, Tenant’s use of or occupancy of the Premises, and/or any emergency statutory or any other statutory remedy. It is further mutually agreed that in the event Landlord commences any summary proceeding for possession of the Premises, or any other action or proceeding against the Tenant or the Premises, Tenant will not interpose any unrelated counterclaim of whatever nature or description in any such proceeding. 



     .",Jury Waiver and No Counterclaims,Tenant Waivers
"Itemized Fees

Fee

Software

MagicSoft Mobile x 250 seats

$220,000

MagicSoft Connect x 250 seats

$75,000

MagicSoft Hub Connector

$25,000

All services provided below are subject to additional costs for work performed outside of regular working hours, as specified in section 2.3 of the MSA. All new work will be scoped with Customer before commencing.

Service

Initial Setup

$22,000

Profile Customizations

$22,000

Connector Enablement

$10,000

Total

$374,000



3.

Fees and Terms.

   Fixed Price: $374,000

   Start Date: 03/15/2021

   End Date: 07/01/2021",Software and Service Fees,Fees and Terms
Deluxe business income - additional coverages and coverage extensions,Business Income Extensions,Building Coverage Extensions
"Technology Professional Liability Errors & Omissions policy (which includes Cyber Risk coverage and Computer Security and Privacy Liability coverage) with a limit of no less than $5,000,000 per occurrence and in the aggregate.",Technology Professional Liability Insurance,Coverage Options
"2. Fees. The Services outlined in this SOW reflect the initial understanding of Client’s desired Deliverable and Company reserves the right to alter the manner in which Services are provided if Company determines different services are necessary to complete the Deliverable. Company shall provide the following Services to the Client:

Itemized Fees

Software

MagicSoft Mobile x 50 seats

$105,000

MagicSoft Connect x 50 seats

$105,000

MagicSoft Hub Connector

$25,000

Service

Initial Setup

$22,000

Profile Customizations

$22,000

Connector Enablement

$10,000

Support

Training

$25,000



Production Support

$10,000



TOTAL

$324,000

All services provided are subject to additional costs for work performed outside of regular working hours, as specified in section 2.3 of the MSA. All new work will be scoped with Customer before commencing.",Fees Details,Fees and Payment
"12. General Provisions.

   12.1 Insurance Company will maintain during the entire Term of this Agreement, at its own expense, the types of insurance coverage specified below, on standard policy forms and with insurance companies with at least an A.M. Best Rating of A-VII authorized to do business in the jurisdictions where the Company services are to be performed.

      (a) Workers’ Compensation insurance prescribed by applicable local law and Employers Liability insurance with limits not less than $1,000,000 per accident/per employee. This policy shall include a waiver of subrogation against Client.

      (b) Business Automobile Liability covering all vehicles that Company owns, hires or leases with a limit of no less than $1,000,000 (combined single limit for bodily injury and property damage) for each accident.

      (c) Commercial General Liability insurance including Contractual Liability Coverage, with coverage for products liability, completed operations, property damage and bodily injury, including death, with an aggregate limit of no less than $2,000,000. This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.

      (d) Technology Professional Liability Errors & Omissions policy (which includes Cyber Risk coverage and Computer Security and Privacy Liability coverage) with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (e) Crime policy with a limit of no less than $5,000,000 per occurrence and in the aggregate.

      (f) Excess Liability/Umbrella coverage with a limit of no less than $9,000,000 per occurrence and in the aggregate (such limit may be achieved through increase of limits in underlying policies to reach the level of coverage shown here). This policy shall name Client as an additional insured with respect to the provision of services provided under this Agreement. This policy shall include a waiver of subrogation against Client.",Insurance Requirements,Insurance Coverage Details
"subject to the following minimum, in any one occurrence:",Minimum Requirement,Minimum Requirement
"Ingredient name

                %

                CAS number

                Titanium dioxide

                1 - 5

                13463-67-7",Ingredient Information,Ingredient Summary
Landlord does not represent that the electricity at the Premises is adequate or appropriate for Tenant's intended use.,Electricity Adequacy,Electricity Requirements
Your Business Personal Property,Your Business Personal Property,Your Business Personal Property
InsuranceA Risk Control: Our Expertise is Your Advantage,Risk Control Services,InsuranceA Risk Control
"Time Element, in any one occurrence:

                                                                    72Hours",Maximum Time Element,Time Element Requirements
"Tenant shall, at its sole cost and expense, maintain and promptly make all repairs and replacements, structural or otherwise, ordinary and extraordinary, to all of the furnishings, fixtures, kitchen equipment, all other equipment, effects and property of every kind, nature and description located in the premises.",Tenant Repairs & Replacements,Maintenance and Repairs
No cigarette smoking will be permitted during the study.,No Smoking Policy,Smoking Restriction
shall be free to tender freight for transportation to carriers other than Carrier.,Freight Tender Rights,Freight Tendering
"If the Deliverable will be completed according to a fixed price SOW and travel is required, then Client must sign the Agreement and SOW and pay required Deposit at least 30 days prior to proposed travel. If the Agreement and SOW are not signed and Deposit is not received at least 30 days prior to proposed travel, Company reserves the right to amend the SOW estimate solely with regard to travel and lodging expenses so that the SOW estimate reflects actual costs incurred by Company.",Travel and Lodging Requirements,Travel and Lodging Requirements
